Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.07264958,0.48351650
0.00500000,0.07203908,0.49206350
0.01000000,0.07326008,0.49145300
0.01500000,0.07326008,0.48779000
0.02000000,0.07448108,0.48901100
0.02500000,0.07448108,0.49023200
0.03000000,0.07448108,0.48534800
0.03500000,0.07509158,0.48779000
0.04000000,0.07509158,0.48901100
0.04500000,0.07509158,0.49084250
0.05000000,0.07570208,0.49084250
0.05500000,0.07631258,0.48901100
0.06000000,0.07631258,0.48901100
0.06500000,0.07570208,0.49084250
0.07000000,0.07692308,0.49023200
0.07500000,0.07753358,0.48595850
0.08000000,0.07692308,0.48717950
0.08500000,0.07753358,0.48962150
0.09000000,0.07753358,0.48779000
0.09500000,0.07814408,0.48534800
0.10000000,0.07814408,0.48656900
0.10500000,0.07875458,0.48962150
0.11000000,0.07814408,0.48717950
0.11500000,0.07875458,0.48473750
0.12000000,0.07875458,0.48656900
0.12500000,0.07936508,0.48962150
0.13000000,0.07997558,0.48656900
0.13500000,0.07997558,0.48779000
0.14000000,0.07936508,0.48840050
0.14500000,0.08058608,0.49023200
0.15000000,0.08058608,0.49023200
0.15500000,0.07997558,0.48779000
0.16000000,0.08119658,0.48901100
0.16500000,0.08119658,0.49023200
0.17000000,0.08119658,0.49084250
0.17500000,0.08241758,0.48779000
0.18000000,0.08241758,0.48840050
0.18500000,0.08241758,0.49145300
0.19000000,0.08302809,0.49145300
0.19500000,0.08363859,0.48840050
0.20000000,0.08363859,0.48840050
0.20500000,0.08424909,0.49145300
0.21000000,0.08424909,0.49084250
0.21500000,0.08302809,0.48840050
0.22000000,0.08485959,0.48840050
0.22499999,0.08485959,0.49145300
0.22999999,0.08485959,0.48901100
0.23499999,0.08547009,0.48779000
0.23999999,0.08608059,0.48840050
0.24499999,0.08547009,0.49023200
0.24999999,0.08608059,0.48901100
0.25499999,0.08608059,0.48840050
0.25999999,0.08730159,0.48962150
0.26499999,0.08608059,0.48901100
0.26999999,0.08730159,0.49145300
0.27499999,0.08730159,0.48901100
0.27999999,0.08791209,0.48351650
0.28499999,0.08852259,0.49206350
0.28999999,0.08852259,0.49023200
0.29499999,0.08852259,0.48840050
0.29999999,0.08913309,0.48779000
0.30499999,0.08913309,0.49023200
0.30999999,0.08913309,0.48962150
0.31499999,0.08974359,0.48717950
0.31999999,0.09035409,0.48779000
0.32499999,0.08974359,0.48717950
0.32999999,0.09035409,0.48595850
0.33499999,0.08974359,0.47863250
0.33999999,0.09035409,0.47985350
0.34499999,0.09096459,0.48962150
0.34999999,0.09035409,0.48901100
0.35499999,0.09157509,0.48717950
0.35999999,0.09218559,0.48779000
0.36499999,0.09157509,0.48717950
0.36999999,0.09218559,0.48901100
0.37499999,0.09279609,0.48656900
0.37999999,0.09279609,0.48351650
0.38499999,0.09340660,0.48962150
0.38999999,0.09279609,0.48840050
0.39499999,0.09340660,0.48595850
0.39999999,0.09401710,0.48717950
0.40499999,0.09462760,0.48901100
0.40999999,0.09462760,0.48840050
0.41499999,0.09462760,0.48656900
0.41999999,0.09523810,0.48717950
0.42499999,0.09584860,0.48962150
