Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.13064710,0.86874240
0.00499950,0.13247860,0.92979250
0.00999900,0.13308910,0.97863250
0.01499850,0.13369960,1.00488400
0.01999800,0.13308910,1.03296700
0.02499750,0.13369960,1.06776600
0.02999700,0.13492060,1.10744800
0.03499650,0.13308910,1.13370000
0.03999600,0.13553110,1.15201500
0.04499550,0.13553110,1.16788800
0.04999500,0.13553110,1.18376100
0.05499450,0.13553110,1.19658100
0.05999400,0.13614160,1.20451800
0.06499350,0.13675210,1.20818100
0.06999300,0.13675210,1.21550700
0.07499250,0.13675210,1.21672800
0.07999200,0.13675210,1.21245400
0.08499150,0.13736260,1.20085500
0.08999100,0.13797310,1.18254000
0.09499050,0.13797310,1.17460300
0.09999000,0.13797310,1.16117200
0.10498950,0.13797310,1.13614200
0.10998901,0.13797310,1.08608100
0.11498851,0.13858360,1.05677700
0.11998801,0.13919410,1.04090400
0.12498751,0.13919410,1.02503100
0.12998701,0.13919410,0.98595850
0.13498651,0.13919410,0.94749700
0.13998601,0.13980460,0.91452990
0.14498551,0.14041510,0.89560440
0.14998501,0.14041510,0.85470090
0.15498451,0.14102560,0.81440780
0.15998401,0.13919410,0.76800980
0.16498351,0.14102560,0.74053730
0.16998301,0.14163610,0.69108670
0.17498251,0.14163610,0.63675220
0.17998201,0.14224660,0.59890110
0.18498151,0.14163610,0.55982910
0.18998101,0.14163610,0.51221000
0.19498051,0.14224660,0.45909650
0.19998001,0.14224660,0.42124540
0.20497951,0.14285710,0.39926740
0.20997901,0.14285710,0.38095240
0.21497851,0.14346760,0.35592190
0.21997801,0.14285710,0.33516480
0.22497751,0.14346760,0.31990230
0.22997701,0.14407820,0.30830280
0.23497651,0.14407820,0.29487180
0.23997601,0.14468870,0.28693530
0.24497551,0.14407820,0.27899880
0.24997501,0.14590970,0.27655680
0.25497451,0.14652020,0.28205130
0.25997401,0.14652020,0.28266180
0.26497351,0.14652020,0.28632480
0.26997301,0.14713070,0.30280830
0.27497251,0.14652020,0.33028080
0.27997201,0.14713070,0.34249090
0.28497151,0.14713070,0.35286940
0.28997101,0.14774120,0.38034190
0.29497051,0.14774120,0.42124540
0.29997001,0.14835170,0.46214900
0.30496951,0.14835170,0.48962150
0.30996901,0.14896220,0.52442000
0.31496851,0.14896220,0.56288160
0.31996801,0.14835170,0.59340660
0.32496752,0.14896220,0.60805860
0.32996702,0.14835170,0.62881570
0.33496652,0.14896220,0.67582420
0.33996602,0.15018320,0.71978030
0.34496552,0.15079370,0.74908430
0.34996502,0.15079370,0.79853480
0.35496452,0.15140420,0.84676440
0.35996402,0.15140420,0.89865690
0.36496352,0.15201470,0.93284490
0.36996302,0.15201470,0.96825400
0.37496252,0.15262520,1.00854700
0.37996202,0.15262520,1.05799800
0.38496152,0.15262520,1.09279600
0.38996102,0.15323570,1.12576300
0.39496052,0.15323570,1.14835200
0.39996002,0.15384620,1.16727700
0.40495952,0.15445670,1.18254000
0.40995902,0.15384620,1.19597100
0.41495852,0.15506720,1.20879100
0.41995802,0.15506720,1.21550700
0.42495752,0.15567770,1.22100100
