Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.07142857,1.04823000
0.00499950,0.07142857,1.03907200
0.00999900,0.07264958,1.03846200
0.01499850,0.07203908,1.03052500
0.01999800,0.07264958,1.01831500
0.02499750,0.07326008,1.00976800
0.02999700,0.07387058,1.00183200
0.03499650,0.07326008,0.98473750
0.03999600,0.07387058,0.98107450
0.04499550,0.07387058,0.95177050
0.04999500,0.07448108,0.88522590
0.05499450,0.07448108,0.79731380
0.05999400,0.07509158,0.72771670
0.06499350,0.07509158,0.66849820
0.06999300,0.07570208,0.62576320
0.07499250,0.07631258,0.65445670
0.07999200,0.07570208,0.81562880
0.08499150,0.07631258,0.94871800
0.08999100,0.07631258,0.92490850
0.09499050,0.07631258,0.76556780
0.09999000,0.07631258,0.51404150
0.10498950,0.07631258,0.36019540
0.10998901,0.07692308,0.33455430
0.11498851,0.07753358,0.42002440
0.11998801,0.07753358,0.56532360
0.12498751,0.07875458,0.76556780
0.12998701,0.07875458,0.92185590
0.13498651,0.07875458,1.04395600
0.13998601,0.07936508,1.11721600
0.14498551,0.07936508,1.13858400
0.14998501,0.07997558,1.09584900
0.15498451,0.07997558,1.07570200
0.15998401,0.07997558,1.03663000
0.16498351,0.07997558,0.93650790
0.16998301,0.08058608,0.85042740
0.17498251,0.08058608,0.78388280
0.17998201,0.08119658,0.73748480
0.18498151,0.08119658,0.65628820
0.18998101,0.08119658,0.55799760
0.19498051,0.08180708,0.48717950
0.19998001,0.08180708,0.40903540
0.20497951,0.08180708,0.33882780
0.20997901,0.08241758,0.27411480
0.21497851,0.08241758,0.22405370
0.21997801,0.08241758,0.19841270
0.22497751,0.08302809,0.16117220
0.22997701,0.08302809,0.12393160
0.23497651,0.08363859,0.10073260
0.23997601,0.08363859,0.09157509
0.24497551,0.08424909,0.08363859
0.24997501,0.08485959,0.07509158
0.25497451,0.08485959,0.07753358
0.25997401,0.08485959,0.07142857
0.26497351,0.08485959,0.06898657
0.26997301,0.08485959,0.07997558
0.27497251,0.08608059,0.11965810
0.27997201,0.08608059,0.14163610
0.28497151,0.08730159,0.15323570
0.28997101,0.08669109,0.18803420
0.29497051,0.08730159,0.25335780
0.29997001,0.08730159,0.30769230
0.30496951,0.08791209,0.34126990
0.30996901,0.08791209,0.36568990
0.31496851,0.08791209,0.44200240
0.31996801,0.08669109,0.50915750
0.32496752,0.08791209,0.53663000
0.32996702,0.08852259,0.56898660
0.33496652,0.08913309,0.63369970
0.33996602,0.08974359,0.69352870
0.34496552,0.08974359,0.75763130
0.34996502,0.09035409,0.80891340
0.35496452,0.09035409,0.87667890
0.35996402,0.09035409,0.93589750
0.36496352,0.09157509,0.95543350
0.36996302,0.09096459,0.99572650
0.37496252,0.09157509,1.05250300
0.37996202,0.09157509,1.09218600
0.38496152,0.09218559,1.12087900
0.38996102,0.09218559,1.14713100
0.39496052,0.09218559,1.17765600
0.39996002,0.09279609,1.20207600
0.40495952,0.09279609,1.21733800
0.40995902,0.09340660,1.22649600
0.41495852,0.09340660,1.22405400
0.41995802,0.09340660,1.20757000
0.42495752,0.09340660,1.20268600
