Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.06227107,1.31318700
0.00499950,0.06288157,1.31501800
0.00999900,0.06288157,1.31562900
0.01499850,0.06410257,1.31562900
0.01999800,0.06410257,1.31562900
0.02499750,0.06410257,1.31562900
0.02999700,0.06532357,1.31623900
0.03499650,0.06532357,1.31685000
0.03999600,0.06410257,1.31623900
0.04499550,0.06532357,1.31685000
0.04999500,0.06532357,1.31807100
0.05499450,0.06654457,1.31623900
0.05999400,0.06593407,1.31562900
0.06499350,0.06654457,1.31562900
0.06999300,0.06654457,1.31562900
0.07499250,0.06654457,1.31501800
0.07999200,0.06715507,1.31501800
0.08499150,0.06715507,1.31562900
0.08999100,0.06776557,1.31562900
0.09499050,0.06776557,1.31562900
0.09999000,0.06776557,1.31440800
0.10498950,0.06776557,1.31501800
0.10998901,0.06837607,1.31685000
0.11498851,0.06898657,1.31685000
0.11998801,0.06837607,1.31685000
0.12498751,0.06959707,1.31501800
0.12998701,0.06959707,1.31685000
0.13498651,0.07020757,1.31623900
0.13998601,0.07020757,1.31501800
0.14498551,0.07020757,1.31562900
0.14998501,0.07142857,1.31562900
0.15498451,0.07081807,1.31562900
0.15998401,0.07081807,1.31501800
0.16498351,0.07142857,1.31562900
0.16998301,0.07142857,1.31562900
0.17498251,0.07203908,1.31623900
0.17998201,0.07264958,1.31623900
0.18498151,0.07264958,1.31623900
0.18998101,0.07264958,1.31685000
0.19498051,0.07326008,1.31623900
0.19998001,0.07326008,1.31685000
0.20497951,0.07326008,1.31501800
0.20997901,0.07326008,1.31501800
0.21497851,0.07326008,1.31440800
0.21997801,0.07326008,1.31440800
0.22497751,0.07387058,1.31501800
0.22997701,0.07448108,1.31623900
0.23497651,0.07448108,1.31623900
0.23997601,0.07509158,1.31440800
0.24497551,0.07570208,1.31562900
0.24997501,0.07509158,1.31562900
0.25497451,0.07631258,1.31623900
0.25997401,0.07570208,1.31501800
0.26497351,0.07692308,1.31562900
0.26997301,0.07692308,1.31623900
0.27497251,0.07692308,1.31501800
0.27997201,0.07753358,1.31501800
0.28497151,0.07753358,1.31562900
0.28997101,0.07875458,1.31562900
0.29497051,0.07814408,1.31562900
0.29997001,0.07875458,1.31623900
0.30496951,0.07875458,1.31623900
0.30996901,0.07936508,1.31623900
0.31496851,0.07936508,1.31623900
0.31996801,0.07875458,1.31440800
0.32496752,0.07875458,1.31440800
0.32996702,0.07936508,1.31562900
0.33496652,0.08058608,1.31440800
0.33996602,0.08058608,1.31196600
0.34496552,0.08058608,1.31440800
0.34996502,0.08119658,1.31501800
0.35496452,0.08058608,1.31562900
0.35996402,0.08119658,1.31562900
0.36496352,0.08180708,1.31501800
0.36996302,0.08180708,1.31623900
0.37496252,0.08180708,1.31623900
0.37996202,0.08241758,1.31562900
0.38496152,0.08302809,1.31623900
0.38996102,0.08302809,1.31623900
0.39496052,0.08363859,1.31623900
0.39996002,0.08363859,1.31501800
0.40495952,0.08363859,1.31562900
0.40995902,0.08363859,1.31562900
0.41495852,0.08424909,1.31501800
0.41995802,0.08424909,1.31501800
0.42495752,0.08424909,1.31562900
