Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.10805860,0.34371190
0.00500000,0.10866910,0.34676440
0.01000000,0.10927960,0.34615390
0.01500000,0.10927960,0.34615390
0.02000000,0.10989010,0.34615390
0.02500000,0.11050060,0.34676440
0.03000000,0.11050060,0.34615390
0.03500000,0.11050060,0.34554340
0.04000000,0.11050060,0.34615390
0.04500000,0.11111110,0.34615390
0.05000000,0.11172160,0.34615390
0.05500000,0.11172160,0.34615390
0.06000000,0.11233210,0.34615390
0.06500000,0.11233210,0.34615390
0.07000000,0.11233210,0.34554340
0.07500000,0.11294260,0.34432240
0.08000000,0.11233210,0.34432240
0.08500000,0.11294260,0.34615390
0.09000000,0.11294260,0.34554340
0.09500000,0.11355310,0.34432240
0.10000000,0.11355310,0.34615390
0.10500000,0.11416360,0.34554340
0.11000000,0.11355310,0.34432240
0.11500000,0.11355310,0.34371190
0.12000000,0.11477410,0.34310140
0.12500000,0.11416360,0.34554340
0.13000000,0.11538460,0.34615390
0.13500000,0.11599510,0.34615390
0.14000000,0.11599510,0.34554340
0.14500000,0.11660560,0.34676440
0.15000000,0.11721610,0.34615390
0.15500000,0.11721610,0.34615390
0.16000000,0.11721610,0.34676440
0.16500000,0.11782660,0.34676440
0.17000000,0.11782660,0.34676440
0.17500000,0.11843710,0.34615390
0.18000000,0.11843710,0.34676440
0.18500000,0.11904760,0.34676440
0.19000000,0.11904760,0.34676440
0.19500000,0.11965810,0.34615390
0.20000000,0.12026860,0.34676440
0.20500000,0.12026860,0.34676440
0.21000000,0.12026860,0.34676440
0.21500000,0.12087910,0.34615390
0.22000000,0.12026860,0.34432240
0.22499999,0.12026860,0.34615390
0.22999999,0.12148960,0.34310140
0.23499999,0.12087910,0.34615390
0.23999999,0.12210010,0.34432240
0.24499999,0.12271060,0.34554340
0.24999999,0.12210010,0.34676440
0.25499999,0.12271060,0.34615390
0.25999999,0.12271060,0.34371190
0.26499999,0.12210010,0.34676440
0.26999999,0.12393160,0.34676440
0.27499999,0.12332110,0.34371190
0.27999999,0.12454210,0.34554340
0.28499999,0.12454210,0.34676440
0.28999999,0.12454210,0.34615390
0.29499999,0.12454210,0.34615390
0.29999999,0.12515260,0.34615390
0.30499999,0.12576310,0.34737490
0.30999999,0.12576310,0.34676440
0.31499999,0.12576310,0.34676440
0.31999999,0.12637360,0.34615390
0.32499999,0.12637360,0.34432240
0.32999999,0.12515260,0.34371190
0.33499999,0.12698410,0.34615390
0.33999999,0.12759460,0.34676440
0.34499999,0.12759460,0.34615390
0.34999999,0.12759460,0.34615390
0.35499999,0.12698410,0.34615390
0.35999999,0.12820510,0.34432240
0.36499999,0.12820510,0.34676440
0.36999999,0.12881560,0.34676440
0.37499999,0.12881560,0.34676440
0.37999999,0.12942610,0.34615390
0.38499999,0.13003660,0.34676440
0.38999999,0.13003660,0.34615390
0.39499999,0.13064710,0.34554340
0.39999999,0.13064710,0.34615390
0.40499999,0.13125760,0.34676440
0.40999999,0.13125760,0.34676440
0.41499999,0.13125760,0.34615390
0.41999999,0.13247860,0.34676440
0.42499999,0.13247860,0.34676440
